epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.723904,2.72808,3.8456,2.25291,0.00316,0.5,0.00242,0.00145,2.53535,4.21221,2.19564,0,0,0
2,1.41861,3.06192,3.8438,2.55249,0.00321,0.5,0.00245,0.00122,2.50061,4.17989,2.1926,1.97525e-05,1.97525e-05,1.97525e-05
3,2.07806,2.97025,3.95123,2.45987,0.00322,0.5,0.00246,0.00171,2.46628,4.39822,2.16242,3.901e-05,3.901e-05,3.901e-05
4,2.7402,2.83344,3.68881,2.31099,0.00316,0.5,0.0034,0.00131,2.45846,4.23415,2.11003,5.77725e-05,5.77725e-05,5.77725e-05
5,3.35545,2.95003,3.80181,2.40853,0.00313,0.5,0.00339,0.00156,2.39961,4.15212,2.04207,7.604e-05,7.604e-05,7.604e-05
6,4.03701,2.48738,3.56457,2.09348,0.0031,0.5,0.0033,0.00264,2.07764,4.12039,1.87141,9.38125e-05,9.38125e-05,9.38125e-05
7,4.7462,2.6884,3.60011,2.21202,0.00592,1,0.00672,0.00307,2.10409,3.97457,1.68896,0.00011109,0.00011109,0.00011109
8,5.38002,2.3012,3.48563,1.91218,0.0056,1,0.00806,0.00294,2.46961,3.78508,1.64972,0.000127872,0.000127872,0.000127872
9,6.00199,2.05748,3.39428,1.84852,0.00524,1,0.01519,0.00688,1.90129,3.97475,1.56101,0.00014416,0.00014416,0.00014416
10,6.62984,1.88703,3.26822,1.69738,0.00505,1,0.02488,0.00913,2.26619,3.60056,1.52185,0.000159952,0.000159952,0.000159952
11,7.26495,1.47463,3.11348,1.53952,0.00477,1,0.03618,0.01297,2.06179,3.51036,1.39663,0.00017525,0.00017525,0.00017525
12,7.89017,1.412,2.91967,1.44643,0.00449,1,0.03554,0.01688,1.97833,3.38807,1.31567,0.000190053,0.000190053,0.000190053
13,8.51214,1.45475,2.66615,1.47766,0.00436,1,0.03618,0.01839,1.83869,3.34202,1.22205,0.00020436,0.00020436,0.00020436
14,9.1368,1.30418,2.24834,1.32105,0.00442,1,0.03827,0.02134,1.63047,3.306,1.14757,0.000218173,0.000218173,0.000218173
15,9.75994,1.28417,1.94532,1.24631,0.00439,1,0.03827,0.02279,1.52716,3.23745,1.12191,0.00023149,0.00023149,0.00023149
16,10.3921,1.18495,1.522,1.21065,0.00416,1,0.03062,0.01786,1.44659,3.1517,1.103,0.000244313,0.000244313,0.000244313
17,11.0478,1.14087,1.30545,1.16973,0.00415,1,0.03109,0.0181,1.42388,3.12973,1.06375,0.00025664,0.00025664,0.00025664
18,11.7137,1.17451,1.28188,1.20947,0.00415,1,0.03109,0.0181,1.42388,3.12973,1.06375,0.000268473,0.000268473,0.000268473
19,12.3691,1.1812,1.3325,1.15765,0.00437,1,0.0321,0.02004,1.33842,3.10069,1.02357,0.00027981,0.00027981,0.00027981
20,12.9943,0.98351,1.20982,1.04406,0.00437,1,0.0321,0.02004,1.33842,3.10069,1.02357,0.000290653,0.000290653,0.000290653
21,13.6345,1.09472,1.83614,1.1844,0.00431,1,0.0321,0.02004,1.24577,3.06097,1.00896,0.000301,0.000301,0.000301
22,14.3135,1.05906,1.04212,1.11244,0.00431,1,0.0321,0.02004,1.24577,3.06097,1.00896,0.000310852,0.000310852,0.000310852
23,14.9912,0.98087,1.06822,1.06367,0.00445,1,0.0297,0.01649,1.16569,2.98557,0.98706,0.00032021,0.00032021,0.00032021
24,15.6349,0.87962,0.95628,1.02333,0.00445,1,0.0297,0.01649,1.16569,2.98557,0.98706,0.000329072,0.000329072,0.000329072
