epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7682,1.64224,3.27623,1.41145,0.81387,0.50649,0.70904,0.41712,1.26508,2.69326,1.28354,0.000659933,0.000659933,0.000659933
2,30.6501,1.49222,2.29602,1.2785,0.62574,0.7013,0.70297,0.45383,1.34726,1.83271,1.38892,0.00131018,0.00131018,0.00131018
3,42.9386,1.49079,1.85091,1.28771,0.77715,0.72467,0.7982,0.49697,1.30584,1.44076,1.41885,0.00194393,0.00194393,0.00194393
4,55.3993,1.44357,1.60658,1.27933,0.74257,0.66234,0.69704,0.43859,1.32243,1.36172,1.37129,0.00192575,0.00192575,0.00192575
5,67.6602,1.38998,1.38395,1.23098,0.91682,0.76623,0.84791,0.56957,1.21545,0.94962,1.24908,0.001901,0.001901,0.001901
6,80.0475,1.35576,1.29002,1.22947,0.86382,0.7414,0.83826,0.57563,1.11416,1.00627,1.22194,0.00187625,0.00187625,0.00187625
7,92.5295,1.30893,1.18726,1.17886,0.88313,0.76623,0.91305,0.60544,1.18515,0.87261,1.26987,0.0018515,0.0018515,0.0018515
8,105.416,1.31072,1.11649,1.18956,0.8964,0.83117,0.90971,0.60307,1.19997,0.87455,1.29127,0.00182675,0.00182675,0.00182675
9,117.954,1.26992,1.05652,1.14805,0.98029,0.76623,0.90574,0.65443,1.10313,0.78997,1.18516,0.001802,0.001802,0.001802
10,130.309,1.23138,1.00481,1.14203,0.90221,0.88312,0.91435,0.62477,1.19536,0.81297,1.27402,0.00177725,0.00177725,0.00177725
11,142.892,1.17618,0.95936,1.12194,0.88802,0.81818,0.90694,0.62259,1.16266,0.74665,1.19886,0.0017525,0.0017525,0.0017525
12,155.291,1.20195,0.9149,1.12324,0.92049,0.85714,0.93524,0.67718,1.05193,0.69922,1.14843,0.00172775,0.00172775,0.00172775
13,167.744,1.17797,0.89232,1.11185,0.93139,0.88312,0.94046,0.66375,1.04679,0.66707,1.1742,0.001703,0.001703,0.001703
14,180.307,1.20452,0.93018,1.14686,0.95713,0.90909,0.94887,0.69387,1.03749,0.70166,1.15625,0.00167825,0.00167825,0.00167825
15,192.583,1.18762,0.90993,1.11067,0.88322,0.87013,0.91496,0.68275,0.94639,0.71864,1.10856,0.0016535,0.0016535,0.0016535
16,204.795,1.10289,0.84135,1.08085,0.96947,0.88312,0.94387,0.69279,0.96743,0.63418,1.1066,0.00162875,0.00162875,0.00162875
17,216.856,1.12677,0.84276,1.11608,0.94865,0.79221,0.91535,0.67329,0.99056,0.71021,1.12412,0.001604,0.001604,0.001604
18,228.882,1.07836,0.79049,1.07172,0.94996,0.87013,0.9421,0.68353,0.9629,0.63243,1.13443,0.00157925,0.00157925,0.00157925
19,240.9,1.08371,0.77015,1.06702,0.96792,0.93506,0.96968,0.71842,0.91842,0.52377,1.09842,0.0015545,0.0015545,0.0015545
20,253.016,1.05704,0.76823,1.05567,0.94463,0.88628,0.95653,0.70653,0.95059,0.55166,1.13399,0.00152975,0.00152975,0.00152975
21,265.088,1.05017,0.74991,1.05782,0.95117,0.81818,0.94976,0.71082,0.9463,0.60833,1.08746,0.001505,0.001505,0.001505
22,277.381,1.04983,0.72295,1.0499,0.95243,0.84416,0.93602,0.68603,1.00071,0.63509,1.20394,0.00148025,0.00148025,0.00148025
23,289.557,1.04214,0.72643,1.03607,0.98277,0.8961,0.95661,0.73512,0.89671,0.52104,1.08379,0.0014555,0.0014555,0.0014555
24,301.703,1.06688,0.73345,1.07,0.91644,0.85468,0.92509,0.7145,0.96508,0.6521,1.12737,0.00143075,0.00143075,0.00143075
25,313.832,1.04326,0.72077,1.04313,0.96121,0.83117,0.95741,0.69592,0.99187,0.57899,1.14235,0.001406,0.001406,0.001406
26,326.141,1.0131,0.68511,1.02434,0.9302,0.86544,0.93282,0.70981,0.92589,0.56304,1.12804,0.00138125,0.00138125,0.00138125
27,338.447,1.0286,0.72448,1.03782,0.95509,0.88312,0.93561,0.72187,0.89445,0.55902,1.08666,0.0013565,0.0013565,0.0013565
28,350.704,1.01187,0.68008,1.01997,0.91919,0.8864,0.95502,0.73136,0.89762,0.54382,1.07063,0.00133175,0.00133175,0.00133175
29,362.918,0.98014,0.66699,1.02466,0.94619,0.93506,0.96089,0.72858,0.91693,0.49822,1.10061,0.001307,0.001307,0.001307
30,375.189,0.9702,0.6463,1.00636,0.94746,0.93671,0.96928,0.73295,0.96202,0.51639,1.09851,0.00128225,0.00128225,0.00128225
31,387.683,0.9571,0.63893,1.00424,0.93158,0.93506,0.96069,0.72237,0.9396,0.52374,1.10878,0.0012575,0.0012575,0.0012575
32,400.241,0.92606,0.62122,0.99731,0.97049,0.92208,0.95491,0.7097,0.94649,0.50589,1.13163,0.00123275,0.00123275,0.00123275
33,412.645,0.94988,0.64623,1.00068,0.96126,0.90909,0.95991,0.73495,0.91759,0.50941,1.07544,0.001208,0.001208,0.001208
